,Name,URL
0,Jason Begley,https://pureportal.coventry.ac.uk/en/persons/jason-begley
0,David Bek,https://pureportal.coventry.ac.uk/en/persons/david-bek
0,Fatima Zohra Souad Belalem,https://pureportal.coventry.ac.uk/en/persons/fatima-zohra-belalem
0,Renato Belindro Belindro,https://pureportal.coventry.ac.uk/en/persons/renato-belindro-belindro
0,Lauren Bell,https://pureportal.coventry.ac.uk/en/persons/lauren-bell
0,Jaliyyah Bello,https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello
0,Macarena Beltran,https://pureportal.coventry.ac.uk/en/persons/macarena-beltran
0,Elizabeth Benjamin,https://pureportal.coventry.ac.uk/en/persons/elizabeth-benjamin
0,Stephen Benjamin,https://pureportal.coventry.ac.uk/en/persons/stephen-benjamin
0,Peter Benko,https://pureportal.coventry.ac.uk/en/persons/peter-benko
0,James Bennett,https://pureportal.coventry.ac.uk/en/persons/james-bennett
0,Jason Bennett,https://pureportal.coventry.ac.uk/en/persons/jason-bennett
0,Matthew Bennett,https://pureportal.coventry.ac.uk/en/persons/matthew-bennett
0,Kamal Bentahar,https://pureportal.coventry.ac.uk/en/persons/kamal-bentahar
0,Ikram Berkani,https://pureportal.coventry.ac.uk/en/persons/ikram-berkani
0,Nigel Berkeley,https://pureportal.coventry.ac.uk/en/persons/nigel-berkeley
0,Darren Berkland,https://pureportal.coventry.ac.uk/en/persons/darren-berkland
0,Eryn Berman-Roberts,https://pureportal.coventry.ac.uk/en/persons/eryn-berman-roberts
0,Ishak Adel H E Berrebbah,https://pureportal.coventry.ac.uk/en/persons/ishak-adel-h-e-berrebbah
0,Daniel Best,https://pureportal.coventry.ac.uk/en/persons/daniel-best
0,Katerina Beta,https://pureportal.coventry.ac.uk/en/persons/katerina-beta
0,Gary Betts,https://pureportal.coventry.ac.uk/en/persons/gary-betts
0,Mike Betts,https://pureportal.coventry.ac.uk/en/persons/mike-betts
0,Gurdeep Bhachu,https://pureportal.coventry.ac.uk/en/persons/gurdeep-bhachu
0,Deepali Bhagat,https://pureportal.coventry.ac.uk/en/persons/deepali-bhagat
0,Rohit Bhagat,https://pureportal.coventry.ac.uk/en/persons/rohit-bhagat
0,Romit Bhandari,https://pureportal.coventry.ac.uk/en/persons/romit-bhandari
0,Dalvir Bhangal,https://pureportal.coventry.ac.uk/en/persons/dalvir-bhangal
0,Satveer Bhella,https://pureportal.coventry.ac.uk/en/persons/satveer-bhella
0,Mohammad Rashed Alam Bhuiyan,https://pureportal.coventry.ac.uk/en/persons/mohammad-rashed-alam-bhuiyan
0,Liliane Binego,https://pureportal.coventry.ac.uk/en/persons/liliane-binego
0,Elena Bini,https://pureportal.coventry.ac.uk/en/persons/elena-bini
0,Ijhar Rusli,https://pureportal.coventry.ac.uk/en/persons/ijhar-rusli
0,Dzariff Bin Zainal Abidin,https://pureportal.coventry.ac.uk/en/persons/dzariff-bin-zainal-abidin
0,Bob Bird,https://pureportal.coventry.ac.uk/en/persons/bob-bird
0,Stewart Birrell,https://pureportal.coventry.ac.uk/en/persons/stewart-birrell
0,Natalie Louise Bisal,https://pureportal.coventry.ac.uk/en/persons/natalie-louise-bisal
0,Jess Bishop,https://pureportal.coventry.ac.uk/en/persons/jess-bishop
0,Lucy Bishop,https://pureportal.coventry.ac.uk/en/persons/lucy-bishop
0,Daniel Bisig,https://pureportal.coventry.ac.uk/en/persons/daniel-bisig
0,Matthew Blackett,https://pureportal.coventry.ac.uk/en/persons/matthew-blackett
0,Joel Blackledge,https://pureportal.coventry.ac.uk/en/persons/joel-blackledge
0,Hetty Blades,https://pureportal.coventry.ac.uk/en/persons/hetty-blades
0,Rob Blakey,https://pureportal.coventry.ac.uk/en/persons/rob-blakey
0,Kirsty Blewitt,https://pureportal.coventry.ac.uk/en/persons/kirsty-blewitt
0,Will Blewitt,https://pureportal.coventry.ac.uk/en/persons/will-blewitt
0,James Blundell,https://pureportal.coventry.ac.uk/en/persons/james-blundell
0,Mike Blundell,https://pureportal.coventry.ac.uk/en/persons/mike-blundell
0,Joshua Bluteau,https://pureportal.coventry.ac.uk/en/persons/joshua-bluteau
0,Patricia Ann Sexton Bluteau,https://pureportal.coventry.ac.uk/en/persons/patricia-ann-sexton-bluteau
0,Kwabena Appiah Boakye,https://pureportal.coventry.ac.uk/en/persons/kwabena-appiah-boakye
0,Richard Boczko,https://pureportal.coventry.ac.uk/en/persons/richard-boczko
0,Benjamin Bogdanovic,https://pureportal.coventry.ac.uk/en/persons/benjamin-bogdanovic
0,Adam Bogg,https://pureportal.coventry.ac.uk/en/persons/adam-bogg
0,Kelly Bogue,https://pureportal.coventry.ac.uk/en/persons/kelly-bogue
0,Anna Bogush,https://pureportal.coventry.ac.uk/en/persons/anna-bogush
0,Shadi Bokaee,https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee
0,Samuel Thomas Booth,https://pureportal.coventry.ac.uk/en/persons/samuel-thomas-booth
0,JC Botha,https://pureportal.coventry.ac.uk/en/persons/jc-botha
0,Willings Botha,https://pureportal.coventry.ac.uk/en/persons/willings-botha
0,Faouzi Bouali,https://pureportal.coventry.ac.uk/en/persons/faouzi-bouali
0,Alkiviadis Boulos,https://pureportal.coventry.ac.uk/en/persons/alkiviadis-boulos
0,Jonathan Bowen,https://pureportal.coventry.ac.uk/en/persons/jonathan-bowen
0,M Brack,https://pureportal.coventry.ac.uk/en/persons/m-brack
0,Malcolm Bradbrook,https://pureportal.coventry.ac.uk/en/persons/malcolm-bradbrook
0,Simon Brake,https://pureportal.coventry.ac.uk/en/persons/simon-brake
0,Susan Bray,https://pureportal.coventry.ac.uk/en/persons/susan-bray
0,Dom Breadmore,https://pureportal.coventry.ac.uk/en/persons/dom-breadmore
0,Helen Breadmore,https://pureportal.coventry.ac.uk/en/persons/helen-breadmore
0,Carol Breen,https://pureportal.coventry.ac.uk/en/persons/carol-breen
0,Josh Brem-Wilson,https://pureportal.coventry.ac.uk/en/persons/josh-brem-wilson
0,James Brennan,https://pureportal.coventry.ac.uk/en/persons/james-brennan
0,Rita Ufuomanefe Bright Ononaye,https://pureportal.coventry.ac.uk/en/persons/rita-ufuomanefe-bright-ononaye
0,Alisson Vinicius Brito Lopes,https://pureportal.coventry.ac.uk/en/persons/alisson-vinicius-brito-lopes
0,Ian Brittain,https://pureportal.coventry.ac.uk/en/persons/ian-brittain
0,Aurelie Broeckerhoff,https://pureportal.coventry.ac.uk/en/persons/aurelie-broeckerhoff
0,Matthew Brolly,https://pureportal.coventry.ac.uk/en/persons/matthew-brolly
0,Katie Brooker,https://pureportal.coventry.ac.uk/en/persons/katie-brooker
0,Celine Jane Brookes Smith,https://pureportal.coventry.ac.uk/en/persons/celine-jane-brookes-smith
0,David Broom,https://pureportal.coventry.ac.uk/en/persons/david-broom
0,Kevin Broughton,https://pureportal.coventry.ac.uk/en/persons/kevin-broughton
0,Freddy Brown,https://pureportal.coventry.ac.uk/en/persons/freddy-brown
0,Geraldine Brown,https://pureportal.coventry.ac.uk/en/persons/geraldine-brown
0,Holly Brown,https://pureportal.coventry.ac.uk/en/persons/holly-brown
0,Jennifer Brown,https://pureportal.coventry.ac.uk/en/persons/jennifer-brown
0,Molly Browne,https://pureportal.coventry.ac.uk/en/persons/molly-browne
0,James Brusey,https://pureportal.coventry.ac.uk/en/persons/james-brusey
0,Jeremy Bryans,https://pureportal.coventry.ac.uk/en/persons/jeremy-bryans
0,Kimberley Buchan,https://pureportal.coventry.ac.uk/en/persons/kimberley-buchan
0,Kerry Buckingham-Ward,https://pureportal.coventry.ac.uk/en/persons/kerry-buckingham-ward
0,Steve Buckley,https://pureportal.coventry.ac.uk/en/persons/steve-buckley
0,Eveleigh Buck-Matthews,https://pureportal.coventry.ac.uk/en/persons/eveleigh-buck-matthews
0,Kim Bul,https://pureportal.coventry.ac.uk/en/persons/kim-bul
0,Karen Bull,https://pureportal.coventry.ac.uk/en/persons/karen-bull
0,Lee Bunch,https://pureportal.coventry.ac.uk/en/persons/lee-bunch
0,Sara Burbi,https://pureportal.coventry.ac.uk/en/persons/sara-burbi
0,Everardt Burger,https://pureportal.coventry.ac.uk/en/persons/everardt-burger
0,M Burhan,https://pureportal.coventry.ac.uk/en/persons/m-burhan
0,Bernard Burke,https://pureportal.coventry.ac.uk/en/persons/bernie-burke
0,Joan Burke,https://pureportal.coventry.ac.uk/en/persons/joan-burke
0,Emma Burnett,https://pureportal.coventry.ac.uk/en/persons/emma-burnett-3
0,Amy Burrell,https://pureportal.coventry.ac.uk/en/persons/amy-burrell
0,Jonathan Burrows,https://pureportal.coventry.ac.uk/en/persons/jonathan-burrows
0,Michael Burrows,https://pureportal.coventry.ac.uk/en/persons/michael-burrows
0,Mary Burton,https://pureportal.coventry.ac.uk/en/persons/mary-burton
0,Joel Busher,https://pureportal.coventry.ac.uk/en/persons/joel-busher
0,Becky Butler,https://pureportal.coventry.ac.uk/en/persons/becky-butler
0,Tinashe Bvirindi,https://pureportal.coventry.ac.uk/en/persons/tinashe-bvirindi
0,Maria Cable,https://pureportal.coventry.ac.uk/en/persons/maria-cable
0,Eko Nur Cahyo,https://pureportal.coventry.ac.uk/en/persons/eko-nur-cahyo
0,Rui Cai,https://pureportal.coventry.ac.uk/en/persons/rui-cai
0,Lorena Caires Moreira,https://pureportal.coventry.ac.uk/en/persons/lorena-caires-moreira-2
0,Lucy Cairns,https://pureportal.coventry.ac.uk/en/persons/lucy-cairns
0,Emma Calcutt,https://pureportal.coventry.ac.uk/en/persons/emma-calcutt
0,Joanne Callaghan,https://pureportal.coventry.ac.uk/en/persons/joanne-callaghan
0,Ian Calliou,https://pureportal.coventry.ac.uk/en/persons/ian-calliou-2
0,Ellen Calteau,https://pureportal.coventry.ac.uk/en/persons/ellen-calteau
0,Carol Campion,https://pureportal.coventry.ac.uk/en/persons/carol-campion
0,Orcun Can,https://pureportal.coventry.ac.uk/en/persons/orcun-can
0,Dongmei Cao,https://pureportal.coventry.ac.uk/en/persons/dongmei-cao
0,Grace Cappy,https://pureportal.coventry.ac.uk/en/persons/grace-cappy
0,Kassim Caratella,https://pureportal.coventry.ac.uk/en/persons/kassim-caratella
0,Lara Carballo,https://pureportal.coventry.ac.uk/en/persons/lara-carballo
