,Name,profile_URL,publications_url
0,Raid Mohammed Saleh Al Rubaiey,https://pureportal.coventry.ac.uk/en/persons/raid-mohammed-saleh-al-rubaiey,https://pureportal.coventry.ac.uk/en/persons/raid-mohammed-saleh-al-rubaiey/publications/
0,Loai Alsaid,https://pureportal.coventry.ac.uk/en/persons/loai-alsaid,https://pureportal.coventry.ac.uk/en/persons/loai-alsaid/publications/
0,Farah Mahdi Yaseen Al-Sallami,https://pureportal.coventry.ac.uk/en/persons/farah-mahdi-yaseen-al-sallami-2,https://pureportal.coventry.ac.uk/en/persons/farah-mahdi-yaseen-al-sallami-2/publications/
0,Sam Al-Samarraie,https://pureportal.coventry.ac.uk/en/persons/sam-al-samarraie,https://pureportal.coventry.ac.uk/en/persons/sam-al-samarraie/publications/
0,Sian Alsop,https://pureportal.coventry.ac.uk/en/persons/sian-alsop,https://pureportal.coventry.ac.uk/en/persons/sian-alsop/publications/
0,Abdulrahman Al-Surmi,https://pureportal.coventry.ac.uk/en/persons/abdulrahman-al-surmi,https://pureportal.coventry.ac.uk/en/persons/abdulrahman-al-surmi/publications/
0,Faisal Ali Al Yahyaee,https://pureportal.coventry.ac.uk/en/persons/faisal-ali-al-yahyaee,https://pureportal.coventry.ac.uk/en/persons/faisal-ali-al-yahyaee/publications/
0,Eric Amaechi,https://pureportal.coventry.ac.uk/en/persons/eric-amaechi,https://pureportal.coventry.ac.uk/en/persons/eric-amaechi/publications/
0,Ambi Ambituuni,https://pureportal.coventry.ac.uk/en/persons/ambi-ambituuni,https://pureportal.coventry.ac.uk/en/persons/ambi-ambituuni/publications/
0,Misbah Ameen-Khan,https://pureportal.coventry.ac.uk/en/persons/misbah-ameen-khan-2,https://pureportal.coventry.ac.uk/en/persons/misbah-ameen-khan-2/publications/
0,Kofi Amegashie,https://pureportal.coventry.ac.uk/en/persons/kofi-amegashie,https://pureportal.coventry.ac.uk/en/persons/kofi-amegashie/publications/
0,Taz Amietszajew,https://pureportal.coventry.ac.uk/en/persons/taz-amietszajew,https://pureportal.coventry.ac.uk/en/persons/taz-amietszajew/publications/
0,Shohel Amin,https://pureportal.coventry.ac.uk/en/persons/shohel-amin,https://pureportal.coventry.ac.uk/en/persons/shohel-amin/publications/
0,Sam Amiri,https://pureportal.coventry.ac.uk/en/persons/sam-amiri,https://pureportal.coventry.ac.uk/en/persons/sam-amiri/publications/
0,Mojtaba Ammari-Allahyari,https://pureportal.coventry.ac.uk/en/persons/mojtaba-ammari-allahyari,https://pureportal.coventry.ac.uk/en/persons/mojtaba-ammari-allahyari/publications/
0,Isaac Amoako,https://pureportal.coventry.ac.uk/en/persons/isaac-amoako,https://pureportal.coventry.ac.uk/en/persons/isaac-amoako/publications/
0,Christabell Amoakoh,https://pureportal.coventry.ac.uk/en/persons/christabell-amoakoh,https://pureportal.coventry.ac.uk/en/persons/christabell-amoakoh/publications/
0,Daniel Amund,https://pureportal.coventry.ac.uk/en/persons/daniel-amund,https://pureportal.coventry.ac.uk/en/persons/daniel-amund/publications/
0,Jessica An,https://pureportal.coventry.ac.uk/en/persons/xiaojue-an,https://pureportal.coventry.ac.uk/en/persons/xiaojue-an/publications/
0,Sunil Anandatheertha,https://pureportal.coventry.ac.uk/en/persons/sunil-anandatheertha,https://pureportal.coventry.ac.uk/en/persons/sunil-anandatheertha/publications/
0,Rachid Anane,https://pureportal.coventry.ac.uk/en/persons/rachid-anane,https://pureportal.coventry.ac.uk/en/persons/rachid-anane/publications/
0,Colin Anderson,https://pureportal.coventry.ac.uk/en/persons/colin-anderson,https://pureportal.coventry.ac.uk/en/persons/colin-anderson/publications/
0,Daniel Anderson,https://pureportal.coventry.ac.uk/en/persons/daniel-anderson-2,https://pureportal.coventry.ac.uk/en/persons/daniel-anderson-2/publications/
0,Hannah Andrews,https://pureportal.coventry.ac.uk/en/persons/hannah-andrews,https://pureportal.coventry.ac.uk/en/persons/hannah-andrews/publications/
0,Panagiotis Andrikopoulos,https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos,https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos/publications/
0,Christopher Aniche,https://pureportal.coventry.ac.uk/en/persons/christopher-aniche,https://pureportal.coventry.ac.uk/en/persons/christopher-aniche/publications/
0,Babatunde Anifowose,https://pureportal.coventry.ac.uk/en/persons/babatunde-anifowose,https://pureportal.coventry.ac.uk/en/persons/babatunde-anifowose/publications/
0,Emmanuel Ejiofor Anike,https://pureportal.coventry.ac.uk/en/persons/emmanuel-ejiofor-anike,https://pureportal.coventry.ac.uk/en/persons/emmanuel-ejiofor-anike/publications/
0,Sara Anisi,https://pureportal.coventry.ac.uk/en/persons/sara-anisi,https://pureportal.coventry.ac.uk/en/persons/sara-anisi/publications/
0,Nancy Annan,https://pureportal.coventry.ac.uk/en/persons/nancy-annan-2,https://pureportal.coventry.ac.uk/en/persons/nancy-annan-2/publications/
0,Ihechiluru Fortune Chinatu Anya,https://pureportal.coventry.ac.uk/en/persons/ihechiluru-fortune-chinatu-anya,https://pureportal.coventry.ac.uk/en/persons/ihechiluru-fortune-chinatu-anya/publications/
0,Evangelos Symeon Apostolopoulos,https://pureportal.coventry.ac.uk/en/persons/evangelos-symeon-apostolopoulos,https://pureportal.coventry.ac.uk/en/persons/evangelos-symeon-apostolopoulos/publications/
0,Lindsey Appleyard,https://pureportal.coventry.ac.uk/en/persons/lindsey-appleyard,https://pureportal.coventry.ac.uk/en/persons/lindsey-appleyard/publications/
0,Ana Carolina Araujo Lascano,https://pureportal.coventry.ac.uk/en/persons/ana-carolina-araujo-lascano,https://pureportal.coventry.ac.uk/en/persons/ana-carolina-araujo-lascano/publications/
0,Oussama Arbouche,https://pureportal.coventry.ac.uk/en/persons/oussama-arbouche,https://pureportal.coventry.ac.uk/en/persons/oussama-arbouche/publications/
0,Deji Aremu,https://pureportal.coventry.ac.uk/en/persons/deji-aremu,https://pureportal.coventry.ac.uk/en/persons/deji-aremu/publications/
0,Balaji Aresh,https://pureportal.coventry.ac.uk/en/persons/balaji-aresh,https://pureportal.coventry.ac.uk/en/persons/balaji-aresh/publications/
0,Kiev Ariza,https://pureportal.coventry.ac.uk/en/persons/kiev-ariza,https://pureportal.coventry.ac.uk/en/persons/kiev-ariza/publications/
0,Anthony Armstrong,https://pureportal.coventry.ac.uk/en/persons/anthony-armstrong,https://pureportal.coventry.ac.uk/en/persons/anthony-armstrong/publications/
0,Sylvester Arnab,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab/publications/
0,Sara Arouch,https://pureportal.coventry.ac.uk/en/persons/sara-arouch,https://pureportal.coventry.ac.uk/en/persons/sara-arouch/publications/
0,Vipavinee Artpradid,https://pureportal.coventry.ac.uk/en/persons/vipavinee-artpradid,https://pureportal.coventry.ac.uk/en/persons/vipavinee-artpradid/publications/
0,John Arvanitakis,https://pureportal.coventry.ac.uk/en/persons/john-arvanitakis,https://pureportal.coventry.ac.uk/en/persons/john-arvanitakis/publications/
0,Ken Asare,https://pureportal.coventry.ac.uk/en/persons/ken-asare,https://pureportal.coventry.ac.uk/en/persons/ken-asare/publications/
0,Mike Ashford,https://pureportal.coventry.ac.uk/en/persons/mike-ashford,https://pureportal.coventry.ac.uk/en/persons/mike-ashford/publications/
0,Folajimi Ashiru,https://pureportal.coventry.ac.uk/en/persons/folajimi-ashiru,https://pureportal.coventry.ac.uk/en/persons/folajimi-ashiru/publications/
0,Craig Ashley,https://pureportal.coventry.ac.uk/en/persons/craig-ashley,https://pureportal.coventry.ac.uk/en/persons/craig-ashley/publications/
0,Patricia Ashman,https://pureportal.coventry.ac.uk/en/persons/patricia-ashman,https://pureportal.coventry.ac.uk/en/persons/patricia-ashman/publications/
0,Rjaa Jawad Ashraf,https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf,https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf/publications/
0,Farzana Aslam,https://pureportal.coventry.ac.uk/en/persons/farzana-aslam,https://pureportal.coventry.ac.uk/en/persons/farzana-aslam/publications/
0,Hussan Aslam,https://pureportal.coventry.ac.uk/en/persons/hussan-aslam,https://pureportal.coventry.ac.uk/en/persons/hussan-aslam/publications/
0,Muhammad Adnan Aslam,https://pureportal.coventry.ac.uk/en/persons/muhammad-adnan-aslam,https://pureportal.coventry.ac.uk/en/persons/muhammad-adnan-aslam/publications/
0,Mujahid Asmal-Lee,https://pureportal.coventry.ac.uk/en/persons/mujahid-asmal-lee,https://pureportal.coventry.ac.uk/en/persons/mujahid-asmal-lee/publications/
0,Richard Aspinall,https://pureportal.coventry.ac.uk/en/persons/richard-aspinall,https://pureportal.coventry.ac.uk/en/persons/richard-aspinall/publications/
0,Taufiq Asyhari,https://pureportal.coventry.ac.uk/en/persons/taufiq-asyhari,https://pureportal.coventry.ac.uk/en/persons/taufiq-asyhari/publications/
0,Lauren Atkins,https://pureportal.coventry.ac.uk/en/persons/lauren-atkins,https://pureportal.coventry.ac.uk/en/persons/lauren-atkins/publications/
0,Samantha Atkins,https://pureportal.coventry.ac.uk/en/persons/samantha-atkins,https://pureportal.coventry.ac.uk/en/persons/samantha-atkins/publications/
0,Nina Atkinson,https://pureportal.coventry.ac.uk/en/persons/nina-atkinson,https://pureportal.coventry.ac.uk/en/persons/nina-atkinson/publications/
0,Shalika Atlas,https://pureportal.coventry.ac.uk/en/persons/shalika-atlas,https://pureportal.coventry.ac.uk/en/persons/shalika-atlas/publications/
0,Vani Aul,https://pureportal.coventry.ac.uk/en/persons/vani-aul,https://pureportal.coventry.ac.uk/en/persons/vani-aul/publications/
0,Randhir Auluck,https://pureportal.coventry.ac.uk/en/persons/randhir-auluck,https://pureportal.coventry.ac.uk/en/persons/randhir-auluck/publications/
0,Kristin Aune,https://pureportal.coventry.ac.uk/en/persons/kristin-aune,https://pureportal.coventry.ac.uk/en/persons/kristin-aune/publications/
0,Elicia Austin,https://pureportal.coventry.ac.uk/en/persons/elicia-austin,https://pureportal.coventry.ac.uk/en/persons/elicia-austin/publications/
0,Stephen Austin,https://pureportal.coventry.ac.uk/en/persons/stephen-austin,https://pureportal.coventry.ac.uk/en/persons/stephen-austin/publications/
0,Soroush Avakh Darestani,https://pureportal.coventry.ac.uk/en/persons/soroush-avakh-darestani,https://pureportal.coventry.ac.uk/en/persons/soroush-avakh-darestani/publications/
0,Melissa Avdeeff,https://pureportal.coventry.ac.uk/en/persons/melissa-avdeeff,https://pureportal.coventry.ac.uk/en/persons/melissa-avdeeff/publications/
0,Simone Salvatore Aveni,https://pureportal.coventry.ac.uk/en/persons/simone-salvatore-aveni,https://pureportal.coventry.ac.uk/en/persons/simone-salvatore-aveni/publications/
0,Kenny Awuson - David,https://pureportal.coventry.ac.uk/en/persons/kenny-awuson-david,https://pureportal.coventry.ac.uk/en/persons/kenny-awuson-david/publications/
